author;created_at;favorite_count;view_count;retweet_count;reply_count;full_text
repubblica;Sun Aug 25 15:33:34 +0000 2024;63;11821;3;1;Tamberi torna in gara dopo Parigi e vince in Polonia. Jacobs quarto sui 100 ma resta sotto i 10’’ https://t.co/83rqtLl04U
repubblica;Sun Aug 25 15:03:34 +0000 2024;11;7836;1;0;Norris vince il Gp d’Olanda di F1 davanti al padrone di casa Verstappen. Leclerc terzo https://t.co/4D4q2TlxXm
repubblica;Sun Aug 25 14:10:34 +0000 2024;9;8145;2;26;Israele, il generale Biton: “Contro di noi una pioggia di missili, ma siamo pronti per l’escalation” https://t.co/E20HtmbGrd
repubblica;Sun Aug 25 14:01:03 +0000 2024;88;9613;13;1;Luna Rossa batte anche Alinghi e conquista la finale delle regate preliminari dell’America’s Cup contro New Zealand https://t.co/75NKsHMYhY
Corriere;Mon Aug 26 08:31:00 +0000 2024;1;1832;0;0;Erica Liverani di Masterchef: «Non mi piace vivere di social» https://t.co/Pa0m8aKUSg
Corriere;Mon Aug 26 08:20:27 +0000 2024;3;2487;1;0;Maltempo nel Bresciano, grandine e raffiche di vento. La «saccatura atlantica» in arrivo https://t.co/G4ApXj0P0y
Corriere;Mon Aug 26 08:15:52 +0000 2024;3;2361;0;0;Revolut e Klarna, attenti a quei due. Chi sono (e dove vogliono arrivare) i nuovi sfidanti delle grandi banche https://t.co/kPmpkzxizd
Corriere;Mon Aug 26 08:05:22 +0000 2024;3;2707;2;3;Se Kamala Harris sull'immigrazione «copia» Trump: il piano anti-clandestini fermato al Congresso proprio dai repubblicani https://t.co/0ni9d8Synz
Corriere;Mon Aug 26 08:00:44 +0000 2024;3;2637;1;0;Salva casa, più facile sanare gli abusi e ora costa anche tre volte meno: tutti i casi https://t.co/1b6XUSZPcN
Corriere;Mon Aug 26 07:20:10 +0000 2024;6;3601;0;0;"Francesco, il ragazzo non vedente che insegue la doppia laurea e gioca a calcio: «Voglio essere trattato come ""gli altri""» https://t.co/iuFrayqSB0"
